epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.99,1.56465,4.2369,1.51833,0.01556,0.55364,0.21867,0.13961,1.31382,4.64107,1.43737,9.996e-05,9.996e-05,9.996e-05
2,531.966,1.5176,3.3308,1.46544,0.02617,0.61208,0.25931,0.16575,1.28371,4.42712,1.36149,0.00020296,0.00020296,0.00020296
3,846.727,1.48342,2.74073,1.38626,0.0269,0.64778,0.22348,0.12184,1.34601,4.26487,1.37015,0.000301719,0.000301719,0.000301719
4,1105.23,1.32705,2.26934,1.35318,0.74154,0.09052,0.26601,0.14797,1.38282,4.11065,1.39918,0.000396237,0.000396237,0.000396237
5,1385.25,1.41496,2.34952,1.37005,0.62718,0.3716,0.34161,0.18583,1.44461,3.58622,1.48856,0.000486514,0.000486514,0.000486514
6,1646.35,1.36505,2.10448,1.32124,0.69678,0.3255,0.40896,0.23093,1.39906,3.39355,1.43453,0.000572549,0.000572549,0.000572549
7,1911.35,1.32392,1.90455,1.31731,0.59125,0.45635,0.52319,0.27946,1.43876,2.86393,1.4116,0.000629177,0.000629177,0.000629177
8,2176.72,1.27002,1.79704,1.25159,0.6903,0.45745,0.52853,0.30371,1.45136,2.84151,1.44464,0.00061504,0.00061504,0.00061504
9,2441.81,1.27813,1.8439,1.28652,0.67592,0.43676,0.5117,0.29608,1.45267,2.80138,1.50032,0.000600902,0.000600902,0.000600902
10,2703.81,1.24981,1.71137,1.24049,0.85479,0.39209,0.65438,0.36962,1.3406,2.83067,1.46786,0.000586765,0.000586765,0.000586765
11,2941.99,1.24375,1.62989,1.29342,0.54796,0.61542,0.5873,0.32124,1.48886,2.82785,1.52063,0.000572628,0.000572628,0.000572628
12,5144.96,1.2449,1.62328,1.27418,0.83476,0.50708,0.67798,0.39543,1.37694,2.36686,1.44034,0.000558491,0.000558491,0.000558491
13,5403.22,1.1703,1.60485,1.23905,0.62055,0.61931,0.67448,0.39688,1.33262,2.35812,1.37007,0.000544354,0.000544354,0.000544354
14,5650.99,1.1437,1.57287,1.2208,0.63875,0.70711,0.66901,0.38973,1.32664,2.34106,1.4021,0.000530216,0.000530216,0.000530216
15,5882.09,1.18302,1.498,1.24132,0.90291,0.55889,0.71492,0.4339,1.28117,2.18918,1.36355,0.000516079,0.000516079,0.000516079
16,6117.42,1.10891,1.45066,1.21755,0.73761,0.60627,0.69072,0.40915,1.34406,2.29671,1.42068,0.000501942,0.000501942,0.000501942
17,6361.6,1.20237,1.4403,1.21814,0.72575,0.75499,0.82195,0.48479,1.33079,1.92941,1.35405,0.000487805,0.000487805,0.000487805
18,6582.84,1.14171,1.39222,1.20499,0.70816,0.74002,0.76705,0.45443,1.35159,1.94496,1.38886,0.000473668,0.000473668,0.000473668
19,6885.79,1.17148,1.37295,1.23389,0.70445,0.71725,0.77726,0.43737,1.36137,1.92286,1.40197,0.00045953,0.00045953,0.00045953
20,7137.21,1.09581,1.25395,1.15546,0.70821,0.75391,0.77846,0.47227,1.28399,1.80632,1.35894,0.000445393,0.000445393,0.000445393
21,7385.01,1.07389,1.23517,1.15472,0.77433,0.73926,0.79951,0.47698,1.30994,1.78234,1.36152,0.000431256,0.000431256,0.000431256
22,7633.1,1.07352,1.21822,1.14872,0.75963,0.66091,0.71592,0.41838,1.43684,2.10808,1.44832,0.000417119,0.000417119,0.000417119
23,7866.56,1.0965,1.18838,1.16242,0.80038,0.62112,0.71602,0.43566,1.39581,2.00654,1.43634,0.000402982,0.000402982,0.000402982
24,8809.49,1.0436,1.14223,1.13733,0.76345,0.65523,0.74953,0.44845,1.34587,1.91291,1.38681,0.000388844,0.000388844,0.000388844
25,9063.33,1.07675,1.1923,1.18417,0.72361,0.66899,0.75627,0.4431,1.31303,1.86043,1.36307,0.000374707,0.000374707,0.000374707
26,9289.24,1.07235,1.15237,1.15122,0.78268,0.73671,0.79298,0.47148,1.32645,1.71107,1.3417,0.00036057,0.00036057,0.00036057
27,9524.01,1.08349,1.10802,1.13465,0.84553,0.74155,0.83358,0.49467,1.34042,1.64547,1.36652,0.000346433,0.000346433,0.000346433
28,9921.35,1.01953,1.08208,1.10245,0.85696,0.76267,0.82983,0.50067,1.36138,1.56554,1.37385,0.000332296,0.000332296,0.000332296
29,10178.1,0.99086,1.0791,1.1239,0.86645,0.74707,0.8256,0.48737,1.37825,1.60394,1.40292,0.000318158,0.000318158,0.000318158
30,10414.2,0.96467,1.06593,1.10737,0.81786,0.73285,0.79824,0.47431,1.32117,1.73508,1.36429,0.000304021,0.000304021,0.000304021
31,10639.2,1.02949,1.02979,1.11685,0.80819,0.78216,0.81302,0.5099,1.24099,1.57463,1.27097,0.000289884,0.000289884,0.000289884
32,10850.1,0.98628,1.02177,1.07085,0.76571,0.7732,0.80576,0.49822,1.26009,1.53967,1.28114,0.000275747,0.000275747,0.000275747
33,11127.1,0.95651,0.95742,1.06898,0.76675,0.75548,0.80973,0.49069,1.24889,1.5645,1.27781,0.00026161,0.00026161,0.00026161
34,11383.1,0.96667,0.96592,1.09336,0.81874,0.74044,0.79926,0.46925,1.3554,1.65398,1.38236,0.000247472,0.000247472,0.000247472
35,11599.9,0.97986,0.969,1.08218,0.8414,0.69056,0.7979,0.4746,1.33606,1.65139,1.41399,0.000233335,0.000233335,0.000233335
36,11827.7,0.95018,0.97501,1.09119,0.83251,0.67645,0.8077,0.4851,1.28355,1.56506,1.32964,0.000219198,0.000219198,0.000219198
37,12294.2,0.93355,0.9095,1.05552,0.78448,0.81345,0.8464,0.50904,1.282,1.49781,1.29829,0.000205061,0.000205061,0.000205061
38,12552.5,0.88014,0.89822,1.04665,0.89779,0.79551,0.86016,0.53239,1.31119,1.42497,1.33913,0.000190924,0.000190924,0.000190924
39,12794.1,0.90489,0.92591,1.05758,0.81006,0.80653,0.8592,0.52829,1.3108,1.45035,1.34766,0.000176786,0.000176786,0.000176786
40,13056.7,0.8957,0.92052,1.04069,0.90717,0.74758,0.85079,0.51284,1.31592,1.43785,1.35428,0.000162649,0.000162649,0.000162649
41,13284.8,0.88841,1.04432,1.05394,0.86349,0.78991,0.85081,0.50439,1.32729,1.44892,1.34639,0.000148512,0.000148512,0.000148512
42,13501,0.85433,0.99042,1.01507,0.90419,0.715,0.8483,0.50946,1.33274,1.48655,1.32761,0.000134375,0.000134375,0.000134375
43,13742,0.82663,0.98727,1.0107,0.83994,0.80449,0.86662,0.52144,1.30814,1.36635,1.3092,0.000120238,0.000120238,0.000120238
44,13966.9,0.8556,0.96892,1.03637,0.81674,0.84245,0.86744,0.539,1.26078,1.31787,1.29473,0.0001061,0.0001061,0.0001061
45,15231.4,0.82014,0.92693,1.00746,0.85584,0.83008,0.86684,0.5449,1.24664,1.30529,1.29565,9.19632e-05,9.19632e-05,9.19632e-05
46,15481.7,0.80212,0.91955,1.00912,0.88191,0.82877,0.86322,0.54225,1.24873,1.32196,1.29237,7.7826e-05,7.7826e-05,7.7826e-05
47,15713.4,0.79331,0.91968,1.00724,0.905,0.78079,0.86837,0.53672,1.26788,1.31943,1.29521,6.36888e-05,6.36888e-05,6.36888e-05
48,15954.4,0.77909,0.90214,0.99789,0.91241,0.79158,0.86848,0.53819,1.27117,1.29998,1.29943,4.95516e-05,4.95516e-05,4.95516e-05
49,16195.1,0.77056,0.88518,0.97557,0.89949,0.79092,0.86813,0.53721,1.26704,1.28655,1.29522,3.54144e-05,3.54144e-05,3.54144e-05
50,16431.4,0.77508,0.89892,0.98858,0.90011,0.79441,0.86895,0.53966,1.25475,1.27072,1.28866,2.12772e-05,2.12772e-05,2.12772e-05
